step,event,ep_return,ep_len,eval_return,critic_loss,actor_loss
1000,episode,30.2062,1000,,nan,nan
2000,episode,30.497,1000,,nan,nan
3000,episode,28.5817,1000,,nan,nan
4000,episode,33.9873,1000,,nan,nan
5000,episode,34.7317,1000,,0.028399,-0.648047
6000,episode,20.4149,1000,,0.005851,-0.345763
7000,episode,25.4476,1000,,0.002303,-0.807361
8000,episode,27.9386,1000,,0.003154,-1.304645
9000,episode,42.9722,1000,,0.004697,-1.850649
10000,episode,70.0513,1000,,0.005566,-2.47461
10000,eval,,,104.5454,,
11000,episode,88.0801,1000,,0.009357,-3.172892
12000,episode,116.1312,1000,,0.017012,-3.965575
13000,episode,85.266,1000,,0.022329,-4.859872
14000,episode,110.1375,1000,,0.030487,-5.909443
15000,episode,192.948,1000,,0.047715,-7.117208
16000,episode,232.6091,1000,,0.080194,-8.60112
17000,episode,126.1805,1000,,0.109878,-10.32201
18000,episode,221.6399,1000,,0.145522,-12.28107
19000,episode,215.8186,1000,,0.213444,-14.670833
20000,episode,225.1312,1000,,0.259399,-17.257525
20000,eval,,,259.0106,,
21000,episode,251.5154,1000,,0.332302,-19.865859
22000,episode,187.119,1000,,0.374327,-22.381485
23000,episode,153.0923,1000,,0.453014,-24.742086
24000,episode,165.2611,1000,,0.508725,-27.026415
25000,episode,29.4704,1000,,0.568545,-29.328117
26000,episode,65.7505,1000,,0.640786,-31.552685
27000,episode,210.9939,1000,,0.719781,-33.894878
28000,episode,163.3729,1000,,0.790187,-36.272218
29000,episode,200.0367,1000,,1.034833,-38.718825
30000,episode,238.839,1000,,1.006521,-41.25437
30000,eval,,,175.7061,,
