step,event,ep_return,ep_len,eval_return,critic_loss,actor_loss,q_loss,pullback_loss,tau_eff,pullback_lambda,normalized_adv,reward_running_mean,reward_running_std,actor_slow_dist
1000,episode,30.2062,1000,,nan,nan,nan,nan,0.0,0.0,0.0,30.2062,1.0,0.0
2000,episode,30.497,1000,,nan,nan,nan,nan,0.0,0.0,0.2828,30.2208,0.9768,0.0
3000,episode,28.5817,1000,,nan,nan,nan,nan,0.0,0.772395,-1.5262,30.1388,1.0202,0.0
4000,episode,33.9873,1000,,nan,nan,nan,nan,0.049068,0.0,2.7802,30.3312,1.315,0.0
5000,episode,34.7317,1000,,0.049803,-0.218499,-0.218499,0.0,0.048636,0.0,2.5871,30.5513,1.6159,0.113927
6000,episode,23.8404,1000,,0.005265,-0.37651,-0.37651,0.0,0.0,0.984638,-2.9307,30.2157,2.1754,1.07534
7000,episode,37.5918,1000,,0.001492,-0.512812,-0.550784,0.038565,0.048693,0.0,2.6086,30.5845,2.6862,0.011557
8000,episode,44.2314,1000,,0.00317,-1.053735,-1.053735,0.0,0.049614,0.0,3.2243,31.2669,4.0208,0.856664
9000,episode,50.4545,1000,,0.005555,-1.675013,-1.675013,0.0,0.049541,0.0,3.1369,32.2263,5.8109,0.936732
10000,episode,53.9041,1000,,0.006845,-2.412601,-2.412601,0.0,0.049035,0.0,2.7625,33.3101,7.4549,0.93973
10000,eval,,,74.9577,,,,,,,,,,
11000,episode,86.488,1000,,0.009303,-3.235726,-3.235726,0.0,0.049827,0.0,3.6253,35.969,13.9352,1.024613
12000,episode,84.7279,1000,,0.011999,-3.90064,-3.90064,0.0,0.048818,0.0,2.6595,38.407,17.417,0.923034
13000,episode,102.9219,1000,,0.014633,-4.604741,-4.604741,0.0,0.049013,0.0,2.7512,41.6327,22.2776,0.906812
14000,episode,107.9603,1000,,0.023133,-5.356017,-5.356017,0.0,0.048016,0.0,2.3963,44.9491,26.2954,0.972201
15000,episode,85.6975,1000,,0.027954,-6.146325,-6.146325,0.0,0.037732,0.0,1.4231,46.9865,27.201,1.021918
16000,episode,105.0724,1000,,0.038824,-7.130332,-7.130332,0.0,0.044532,0.0,1.8691,49.8908,29.5229,1.022656
17000,episode,242.5726,1000,,0.062407,-8.331171,-8.331171,0.0,0.049792,0.0,3.533,59.5249,51.8105,0.956819
18000,episode,60.5119,1000,,0.078469,-9.682865,-9.682865,0.0,0.0,0.0,0.0186,59.5743,50.4992,1.000158
19000,episode,79.828,1000,,0.09456,-11.311558,-11.311558,0.0,0.0,0.0,0.3893,60.5869,49.4284,1.2036
20000,episode,223.4615,1000,,0.13152,-13.380766,-13.380766,0.0,0.048567,0.0,2.562,68.7307,60.3938,1.352781
20000,eval,,,201.7471,,,,,,,,,,
